split_type,split_id,similarity_bin,n,positive_fraction,brier,balanced_accuracy,roc_auc,average_precision
random,0,<0.30,41,0.43902439024390244,0.19565459920517925,0.7427536231884058,0.7850241545893719,0.7331396249901153
random,0,0.30-0.50,27,0.48148148148148145,0.25985870854861337,0.6263736263736264,0.6868131868131868,0.7019225555034547
random,0,0.50-0.70,15,0.4,0.09399872817150116,0.8611111111111112,0.9259259259259259,0.9333333333333333
random,0,>=0.70,8,0.0,0.007685904928689345,1.0,,
random,1,<0.30,36,0.5277777777777778,0.2252300964424727,0.6919504643962848,0.7027863777089783,0.7917558990646869
random,1,0.30-0.50,31,0.45161290322580644,0.17873335885027541,0.7331932773109244,0.8067226890756303,0.8108658680863648
random,1,0.50-0.70,17,0.23529411764705882,0.039902762304029726,1.0,1.0,1.0
random,1,>=0.70,7,0.0,0.0010429570281371848,1.0,,
random,2,<0.30,37,0.5405405405405406,0.26259924778120924,0.6691176470588236,0.6235294117647059,0.6012217383135233
random,2,0.30-0.50,31,0.41935483870967744,0.15350991591255045,0.7350427350427351,0.8675213675213675,0.8387738895091834
random,2,0.50-0.70,15,0.2,0.05499025040917365,0.9583333333333333,0.9722222222222222,0.9166666666666665
random,2,>=0.70,8,0.125,0.050736329499389166,1.0,1.0,1.0
random,3,<0.30,38,0.5789473684210527,0.2425783751034985,0.6392045454545454,0.7329545454545454,0.800360528530383
random,3,0.30-0.50,27,0.4074074074074074,0.1385684468169518,0.7556818181818181,0.8409090909090909,0.8594057457693822
random,3,0.50-0.70,16,0.25,0.09635438648815249,0.7916666666666667,0.9375,0.8541666666666666
random,3,>=0.70,10,0.0,0.016166910929207974,1.0,,
random,4,<0.30,43,0.4418604651162791,0.30268864997879635,0.5646929824561404,0.6162280701754387,0.6075239541841708
random,4,0.30-0.50,26,0.5384615384615384,0.2700008831867338,0.6547619047619048,0.6845238095238095,0.7479870342198958
random,4,0.50-0.70,16,0.1875,0.07591406697750844,0.9230769230769231,0.9743589743589743,0.9166666666666665
random,4,>=0.70,6,0.16666666666666666,0.001533188754005105,1.0,1.0,1.0
random,5,<0.30,43,0.5116279069767442,0.2517442271977048,0.604978354978355,0.670995670995671,0.7465026539509017
random,5,0.30-0.50,21,0.38095238095238093,0.14325569330105714,0.7596153846153846,0.8653846153846154,0.8675595238095238
random,5,0.50-0.70,16,0.3125,0.10174448051990398,0.7545454545454545,0.9454545454545454,0.9028571428571428
random,5,>=0.70,11,0.18181818181818182,0.022641778943398246,1.0,1.0,1.0
random,6,<0.30,37,0.4864864864864865,0.2276216962060976,0.6461988304093567,0.7280701754385965,0.7661690199248472
random,6,0.30-0.50,31,0.41935483870967744,0.22927399710507032,0.6645299145299145,0.7179487179487181,0.7275283978942717
random,6,0.50-0.70,14,0.42857142857142855,0.08384155169262934,0.8541666666666667,0.9583333333333334,0.9484126984126984
random,6,>=0.70,9,0.0,0.01974786221855532,1.0,,
random,7,<0.30,43,0.5116279069767442,0.19311234253047435,0.7467532467532467,0.7835497835497836,0.8260696099995635
